Title,Steam_id,has_achievements,completed_achievements,total_achievements,English_rating,Date_published,Total_number_of_reviews,Publisher,Genres
Left 4 Dead,500,Y,0.0,73.0,Overwhelmingly Positive,"17 Nov, 2008","57,523",Valve,"['Zombies', 'Co-op', 'Multiplayer', 'FPS', 'Action', 'Horror', 'Shooter', 'Online Co-Op', 'Survival', 'Team-Based', 'First-Person', 'Post-apocalyptic', 'Singleplayer', 'Moddable', 'Atmospheric', 'Adventure', 'Tactical', 'Replay Value', 'Competitive', 'Female Protagonist']"
Left 4 Dead 2,550,Y,5.0,101.0,Overwhelmingly Positive,"19 Nov, 2009","804,948",Valve,"['Zombies', 'Co-op', 'FPS', 'Multiplayer', 'Shooter', 'Online Co-Op', 'Action', 'Survival', 'Horror', 'First-Person', 'Gore', 'Team-Based', 'Moddable', 'Survival Horror', 'Post-apocalyptic', 'Singleplayer', 'Adventure', 'Local Co-Op', 'Replay Value', 'Tactical']"
Lethal Company,1966720,N,,,Overwhelmingly Positive,"23 Oct, 2023","410,566",Zeekerss,"['Online Co-Op', 'Horror', 'First-Person', 'Co-op', 'Survival Horror', 'Funny', 'Exploration', 'Psychological Horror', 'Sci-fi', 'PvE', 'Atmospheric', 'Procedural Generation', 'Aliens', 'Time Management', 'Adventure', 'Dungeon Crawler', 'Action', 'Early Access', 'Action-Adventure', 'Perma Death']"
Little Nightmares,424840,Y,0.0,22.0,Very Positive,"27 Apr, 2017","51,902",BANDAI NAMCO Entertainment,"['Horror', 'Atmospheric', 'Adventure', 'Singleplayer', 'Puzzle Platformer', 'Dark', 'Puzzle', 'Indie', 'Story Rich', 'Stealth', 'Psychological Horror', 'Platformer', 'Great Soundtrack', '2.5D', 'Survival Horror', 'Third Person', 'Multiplayer', 'Female Protagonist', 'Short', 'Action']"
Little Nightmares Enhanced Edition,2149010,Y,0.0,22.0,Very Positive,"9 Oct, 2025","2,619",Bandai Namco Entertainment,"['Adventure', 'Puzzle', 'Platformer', 'Puzzle Platformer', '2.5D', 'Horror', 'Atmospheric', 'Dark', 'Third Person', 'Psychological Horror', 'Singleplayer', 'Stealth', 'Story Rich', 'Survival Horror', 'Female Protagonist', 'Short']"
Long Live Santa!,763410,N,,,Very Positive,"19 Dec, 2017","3,107",Doborog Games,"['Free to Play', 'Multiplayer', 'Funny', 'Action', 'Indie', 'Fighting', 'Survival', 'Memes', 'Psychological Horror', 'Swordplay', 'Battle Royale', 'Voxel', 'Pixel Graphics', 'Gore', 'Combat', 'Violent', 'Great Soundtrack', 'Controller', 'Horror', 'Anime']"
LostWinds,447780,Y,0.0,11.0,Very Positive,"24 Mar, 2016",(563 reviews),Frontier Developments,"['Adventure', 'Platformer', 'Singleplayer', 'Casual', 'Family Friendly', 'Metroidvania', 'Puzzle Platformer', 'Puzzle', 'Indie', 'Atmospheric', 'Great Soundtrack', 'Short', 'Cute', '2.5D', 'Side Scroller']"
Machinarium,40700,Y,0.0,12.0,Very Positive,"16 Oct, 2009","17,092",Amanita Design,"['Point & Click', 'Puzzle', 'Hand-drawn', 'Robots', 'Steampunk', '2D', 'Atmospheric', 'Story Rich', 'Adventure', 'Casual', 'Cute', 'Family Friendly', 'Surreal', 'Stylized', 'Sci-fi', 'Linear', 'Singleplayer', 'Indie', 'Great Soundtrack', 'Touch-Friendly']"
Magicka,42910,Y,0.0,88.0,Very Positive,"25 Jan, 2011","19,103",Paradox Interactive,"['Comedy', 'Co-op', 'Action', 'Fantasy', 'Magic', 'Online Co-Op', 'Multiplayer', 'RPG', 'Adventure', 'Funny', 'Local Co-Op', '4 Player Local', 'Indie', 'Local Multiplayer', 'Singleplayer', 'Difficult', 'Team-Based', 'Action RPG', 'Arcade', 'Strategy']"
Make a word!,703870,Y,0.0,309.0,n/a,n/a,n/a,n/a,n/a
Manual Samuel - Last Tuesday Edition,504130,Y,0.0,36.0,Very Positive,"14 Oct, 2016","(1,512 reviews)",Curve Games,"['Dark Humor', 'Singleplayer', 'Local Co-Op', 'Adventure', 'Funny', 'Indie', 'Dark Comedy', 'Physics', 'Difficult', 'Comedy', '2D', 'Intentionally Awkward Controls', 'Cartoony', 'Multiplayer', 'Controller', 'Casual', 'Walking Simulator']"
Manyland,342280,Y,11.0,20.0,Very Positive,"7 Dec, 2015",(331 reviews),Anyland + Manyland,"['Massively Multiplayer', 'Indie', 'Adventure', 'Action', 'Sandbox', 'Pixel Graphics', '2D', 'Open World']"
March of the Eagles,227760,N,,,Mixed,"18 Feb, 2013",(273 reviews),Paradox Interactive,"['Strategy', 'Simulation', 'Grand Strategy', 'Historical', 'Real-Time with Pause', 'Sandbox']"
Mega Man 11,742300,Y,0.0,50.0,Very Positive,"2 Oct, 2018","4,183","CAPCOM CO., LTD.","['Action', 'Platformer', 'Side Scroller', 'Classic', 'Difficult', 'Singleplayer', 'Robots', 'Great Soundtrack', '2.5D', '2D', 'Retro', 'Adventure', 'Anime', 'Shooter', 'Sci-fi', '2D Platformer', 'Action-Adventure', 'Cute', 'Colorful', 'Arcade']"
Mega Man Legacy Collection,363440,Y,0.0,24.0,Very Positive,"24 Aug, 2015","3,758",Capcom,"['Platformer', 'Retro', 'Classic', 'Action', '2D', 'Pixel Graphics', 'Great Soundtrack', 'Difficult', 'Singleplayer', 'Side Scroller', 'Sci-fi', '1980s', 'Robots', ""1990's"", 'Remake', 'Shooter', 'Anime', 'Old School', 'Controller', '2D Platformer']"
Mega Man X Legacy Collection,743890,Y,0.0,52.0,Mostly Positive,"24 Jul, 2018","3,955","CAPCOM CO., LTD","['Action', 'Platformer', 'Classic', '2D', 'Retro', 'Great Soundtrack', 'Robots', 'Side Scroller', 'Singleplayer', 'Difficult', 'Anime', ""1990's"", 'Sci-fi', 'Shooter', 'Pixel Graphics', '2D Platformer', 'Story Rich', 'Metroidvania']"
The Messenger,764790,Y,0.0,48.0,Very Positive,"30 Aug, 2018","10,549",Devolver Digital,"['Retro', 'Platformer', 'Pixel Graphics', 'Metroidvania', 'Ninja', '2D', 'Great Soundtrack', 'Indie', 'Action', '2D Platformer', 'Singleplayer', 'Funny', 'Action-Adventure', 'Difficult', 'Time Travel', 'Adventure', 'Side Scroller', 'Comedy', 'Beautiful', 'Epic']"
METAL GEAR SOLID V: GROUND ZEROES,311340,Y,0.0,16.0,Very Positive,"18 Dec, 2014","13,319",KONAMI,"['Stealth', 'Action', 'Tactical', 'Short', 'Singleplayer', 'Third Person', 'Story Rich', 'Cinematic', 'Open World', 'Replay Value', 'Atmospheric', 'Great Soundtrack', 'Adventure', 'Third-Person Shooter', 'Shooter', 'Sandbox', 'Classic', 'Cold War', 'Dark', 'Espionage']"
METAL GEAR SOLID V: THE PHANTOM PAIN,287700,Y,0.0,42.0,Very Positive,"1 Sep, 2015","72,293",KONAMI,"['Stealth', 'Open World', 'Action', 'Story Rich', 'Tactical', 'Cinematic', 'Third Person', 'Great Soundtrack', 'Singleplayer', 'Atmospheric', 'Adventure', 'Horses', 'Third-Person Shooter', 'Multiplayer', 'Shooter', 'Replay Value', 'Sandbox', 'Dark', 'Sci-fi', 'Heist']"
Metro 2033 Redux,286690,Y,0.0,49.0,Very Positive,"27 Aug, 2014","92,703",Deep Silver,"['Post-apocalyptic', 'FPS', 'Atmospheric', 'Story Rich', 'Horror', 'Action', 'Singleplayer', 'First-Person', 'Shooter', 'Stealth', 'Survival Horror', 'Based On A Novel', 'Multiplayer', 'Survival', 'Adventure', 'Remake', 'Gore', 'Classic', 'Open World', 'Co-op']"
Metro: Last Light Complete Edition,43160,Y,0.0,70.0,n/a,n/a,n/a,n/a,n/a
Metro: Last Light Redux,287390,Y,0.0,49.0,Very Positive,"27 Aug, 2014","69,749",Deep Silver,"['Post-apocalyptic', 'FPS', 'Atmospheric', 'Action', 'Story Rich', 'Horror', 'Singleplayer', 'First-Person', 'Shooter', 'Stealth', 'Survival', 'Based On A Novel', 'Adventure', 'Survival Horror', 'Nudity', 'Remake', 'Sci-fi', 'Multiplayer', 'Difficult', 'Open World']"
Mini Metro,287980,Y,0.0,73.0,Overwhelmingly Positive,"6 Nov, 2015","12,672",Dinosaur Polo Club,"['Strategy', 'Puzzle', 'Minimalist', 'Simulation', 'Trains', 'Indie', 'Singleplayer', 'Casual', 'Management', '2D', 'Relaxing', 'Transportation', 'Building', 'Mouse Only', 'Touch-Friendly', 'Difficult', 'Great Soundtrack', 'Addictive', 'Replay Value', 'Top-Down']"
MOLEK-SYNTEZ,1168880,Y,0.0,6.0,Very Positive,"19 Nov, 2019",(517 reviews),Zachtronics,"['Simulation', 'Puzzle', 'Programming', 'Indie', 'Singleplayer', 'Science', 'Automation', 'Logic']"
Monster Prom,743450,Y,7.0,52.0,Overwhelmingly Positive,"27 Apr, 2018","12,219",Xelu,"['Dating Sim', 'Comedy', 'LGBTQ+', 'Multiplayer', 'Choices Matter', 'Visual Novel', 'Funny', 'Indie', 'Vampires', 'Simulation', 'Sexual Content', 'Local Multiplayer', 'Fantasy', 'Story Rich', 'Demons', 'Online Co-Op', 'Nudity', 'Zombies', 'Great Soundtrack', 'Life Sim']"
Monster Prom 2: Monster Camp,1140270,Y,0.0,49.0,Overwhelmingly Positive,"23 Oct, 2020","4,979",Beautiful Glitch,"['Dating Sim', 'LGBTQ+', 'Multiplayer', 'Comedy', 'Indie', 'Multiple Endings', 'Online Co-Op', 'Visual Novel', 'Casual', 'Funny', 'Singleplayer', 'Text-Based', 'Dark Comedy', 'Romance', '2D', 'Fantasy', 'Choose Your Own Adventure', 'Story Rich', 'Sequel', 'Simulation']"
A Mortician's Tale,578720,Y,0.0,3.0,Mostly Positive,"18 Oct, 2017",(762 reviews),Laundry Bear Games,"['Indie', 'Casual', 'Female Protagonist', 'Short', 'Singleplayer', 'Point & Click', 'Dark', 'LGBTQ+', 'Visual Novel', 'Story Rich', 'Relaxing', 'Atmospheric', 'Silent Protagonist', 'Experimental', 'Cute', 'Colorful', 'Stylized', 'Walking Simulator', 'Great Soundtrack', 'Interactive Fiction']"
Mother Russia Bleeds,361300,Y,0.0,33.0,Very Positive,"5 Sep, 2016","4,326",Devolver Digital,"[""Beat 'em up"", 'Gore', 'Violent', 'Action', 'Pixel Graphics', 'Great Soundtrack', 'Indie', 'Co-op', 'Local Co-Op', '2D', 'Retro', 'Atmospheric', 'Multiplayer', '4 Player Local', 'Difficult', 'Psychological Horror', 'Female Protagonist', 'Nudity', 'Sexual Content', 'Memes']"
Mr Shifty,489140,Y,0.0,14.0,Very Positive,"13 Apr, 2017",(852 reviews),tinyBuild,"['Action', 'Indie', 'Adventure', 'Top-Down', ""Beat 'em up"", 'Singleplayer', 'Fast-Paced', 'Great Soundtrack', 'Difficult', 'Bullet Time', 'Superhero', 'Comic Book', 'Assassins', 'Destruction', 'Arcade', 'Time Attack', 'Heist', 'Action-Adventure', 'Character Action Game', 'Top-Down Shooter']"
Mr.Jezko,796640,Y,0.0,1113.0,Mixed,"21 Feb, 2018",(41 reviews),EasyGames,"['Adventure', 'Indie', 'Casual']"
My Friend Pedro,557340,Y,0.0,30.0,Overwhelmingly Positive,"20 Jun, 2019","24,439",Devolver Digital,"['Action', 'Indie', 'Shooter', 'Gore', 'Parkour', 'Bullet Time', 'Violent', 'Great Soundtrack', 'Singleplayer', 'Side Scroller', 'Platformer', 'Fast-Paced', 'Funny', 'Comedy', '2D', '2.5D', 'Physics', 'Controller', 'Multiplayer', 'Difficult']"
