Title,Steam_id,has_achievements,completed_achievements,total_achievements,English_rating,Date_published,Total_number_of_reviews,Publisher,keys,count_main,time_main,count_complete,time_complete,Genres
dr langeskov the tiger and the terribly cursed emerald a whirlwind heist,409160,Y,3,6,Very Positive,2015-12-04,10141,Crows Crows Crows,,,,,,"['Free to Play', 'Comedy', 'First-Person', 'Indie', 'Walking Simulator', 'Funny', 'Short', 'Singleplayer', 'Heist', 'Stealth', 'Story Rich', 'Experimental', 'Adventure', 'Casual', 'Atmospheric', 'Satire', 'Puzzle', 'Action', 'Psychological Horror', 'Horror']"
dragon's dogma dark arisen,367500,Y,0,59,Very Positive,2016-01-15,37198,Capcom,73.0,387,1993,156,7175,"['RPG', 'Open World', 'Character Customization', 'Fantasy', 'Action', 'Adventure', 'Singleplayer', 'Action RPG', 'Dragons', 'Dark Fantasy', 'Third Person', 'Magic', 'Exploration', 'Atmospheric', 'Great Soundtrack', 'Story Rich', 'Difficult', 'Multiplayer', 'JRPG', 'Hack and Slash']"
driver booster for steam,920490,N,,,Mostly Positive,2018-11-01,10571,IObit,,,,,,"['Utilities', 'Software', 'Free to Play', 'Psychological Horror']"
dropsy,274350,Y,0,30,Very Positive,2015-09-10,1614,Devolver Digital,74.0,46,271,41,439,"['Point & Click', 'Adventure', '2D', 'Great Soundtrack', 'Pixel Graphics', 'Indie', 'Surreal', 'Story Rich', 'Cute', 'Singleplayer', 'Atmospheric', 'Puzzle', 'Dark', 'Open World', 'Casual', 'Psychedelic', 'Survival Horror', 'Colorful', 'Cartoony']"
ducati 90th anniversary,456780,Y,0,22,Mostly Positive,2016-06-09,207,Milestone S.r.l.,75.0,6,633,3,1092,"['Motorbike', 'Sports', 'Simulation', 'Racing', 'Cycling']"
duck game,312530,Y,0,18,Overwhelmingly Positive,2015-06-04,25234,CORPTRON GAMES CORP.,76.0,14,242,7,8611,"['Multiplayer', 'Funny', 'Local Multiplayer', 'Pixel Graphics', 'Action', '2D', '4 Player Local', 'Platformer', 'Indie', 'Fast-Paced', 'Shooter', 'Comedy', 'Competitive', 'Retro', 'Local Co-Op', 'Great Soundtrack', 'Co-op', 'Memes', 'Casual', '1980s']"
elden ring,1245620,Y,0,42,Very Positive,2022-02-24,823410,"FromSoftware, Inc.",77.0,1700,3606,3900,8519,"['Souls-like', 'Open World', 'Dark Fantasy', 'RPG', 'Difficult', 'Action RPG', 'Multiplayer', 'Third Person', 'Fantasy', 'Singleplayer', 'Online Co-Op', 'Action', 'Co-op', 'Atmospheric', 'Great Soundtrack', 'PvP', 'Violent', '3D', 'Character Customization', 'Family Friendly']"
elden ring nightreign,2622380,Y,32,37,Very Positive,2025-05-29,127379,"FromSoftware, Inc.",78.0,180,1786,192,4213,"['Souls-like', 'Online Co-Op', 'Multiplayer', 'Roguelike', 'Co-op', 'Singleplayer', 'PvE', 'Action', 'Third Person', 'Roguelite', 'Action RPG', 'Open World', 'RPG', 'Dark', 'Violent', '3D', 'Survival', 'Lore-Rich', 'Story Rich', 'Dating Sim']"
enter the gungeon,311690,Y,0,54,Overwhelmingly Positive,2016-04-05,78941,Devolver Digital,79.0,205,1444,181,10025,"['Bullet Hell', 'Action Roguelike', 'Roguelike', 'Pixel Graphics', 'Difficult', 'Dungeon Crawler', 'Indie', 'Local Co-Op', 'Multiplayer', 'Twin Stick Shooter', 'Co-op', 'Action', '2D', 'Top-Down', 'Shooter', 'Singleplayer', 'Roguelite', 'Loot', 'Cute', 'Funny']"
the escapists,298630,Y,0,37,Very Positive,2015-02-13,14280,Team17,212.0,31,1131,16,2741,"['Pixel Graphics', 'Strategy', 'Crafting', 'Singleplayer', '2D', 'Simulation', 'Indie', 'Action', 'Difficult', 'Survival', 'Adventure', 'Puzzle', 'RPG', 'Top-Down', 'Multiplayer', 'Sandbox', 'Funny', 'Comedy', 'Co-op', 'Roguelike']"
etherborn,812160,Y,0,13,Mostly Positive,2019-07-18,100,Akupara Games,80.0,89,138,43,250,"['Indie', 'Adventure', 'Great Soundtrack', 'Puzzle', 'Puzzle Platformer', 'Atmospheric', 'Platformer', '3D Platformer', 'Minimalist', 'Colorful', 'Philosophical', 'Singleplayer', 'Silent Protagonist', 'Exploration', 'Music', 'Beautiful', 'Female Protagonist', 'Experimental', 'Surreal', 'Casual']"
europa universalis iii,25800,N,,,Very Positive,2007-01-23,1369,Paradox Interactive,81.0,8,4794,4,18594,"['Grand Strategy', 'Strategy', 'Historical', 'Political Sim', 'Real-Time with Pause', 'Political', 'Sandbox', 'Simulation', 'Singleplayer', 'Addictive', 'Multiplayer', 'RTS', 'Co-op', 'War', 'Alternate History', 'Medieval', 'Logic', '4X', 'Great Soundtrack', 'Moddable']"
europa universalis iv,236850,Y,167,373,Very Positive,2013-08-13,93721,Paradox Interactive,82.0,61,6560,27,111124,"['Grand Strategy', 'Strategy', 'Historical', 'Simulation', '4X', 'Alternate History', 'Wargame', 'Military', 'Diplomacy', 'Economy', 'Replay Value', 'Sandbox', 'Political', 'Real-Time with Pause', 'Moddable', 'Nonlinear', 'Co-op', 'Singleplayer', 'Management', 'Multiplayer']"
exapunks,716490,Y,0,16,Overwhelmingly Positive,2018-10-22,1363,Zachtronics,83.0,20,1529,5,1771,"['Programming', 'Puzzle', 'Hacking', 'Automation', 'Indie', 'Simulation', 'Logic', 'Cyberpunk', 'Singleplayer', 'Difficult', 'Great Soundtrack', 'Sandbox']"
fahrenheit indigo prophecy remastered,312840,Y,0,17,Mostly Positive,2015-01-28,6473,Quantic Dream,,,,,,"['Story Rich', 'Quick-Time Events', 'Adventure', 'Atmospheric', 'Choices Matter', 'Mystery', 'Singleplayer', 'Cinematic', 'Nudity', 'Detective', 'Action', 'Horror', 'Classic', 'Supernatural', 'Great Soundtrack', 'Noir', 'Remake', 'Female Protagonist', 'RPG', 'Sexual Content']"
